zip,population,density
04257,2617,44.3
04258,2580,34.1
04259,3208,42.9
04260,5723,45.4
04261,402,0.8
04263,2233,22.4
04265,1022,50.2
04267,62,6.9
04268,4969,42.5
04270,6274,28.9
04271,0,143.3
04274,5605,49.2
04275,374,2.1
04276,5705,32.9
04280,6744,60
04281,5131,48.7
04282,5772,37.4
04284,974,26
04285,369,2.6
04286,50,323.7
04287,3235,28
04289,2259,28.9
04290,1443,12.7
04292,1034,8.3
04294,4005,26.8
04330,25687,86
04342,1891,21.2
04343,16,20
04344,2916,101.5
04345,11440,62.4
04346,1996,320.4
04347,2506,155
04348,2981,15.3
04349,1049,15.2
04350,3622,37.2
04351,2547,46.7
04352,1489,16.7
04353,2363,19
04354,1462,14.6
04355,2553,34.3
04357,3378,43.1
04358,4162,33.2
04359,286,207.8
04360,494,8.9
04363,2572,28.7
04364,5917,76.3
04401,44572,173
04406,624,3.5
04408,139,0.6
04410,1150,12.1
04411,1570,13.5
04412,9123,240.3
04413,199,1.5
04414,1273,2
04415,269,67.3
04416,5497,36.5
04417,334,2.3
04418,1727,4.6
04419,2789,29.5
04421,1214,67.8
04422,1409,13.4
04424,785,3
04426,4546,11.8
04427,2830,27.5
04428,2963,20.4
04429,4545,25.8
04430,1767,73.9
04431,42,100.1
04434,1121,19.4
04435,1069,10.9
04438,1001,17.6
04441,1675,1.2
04442,22,0.5
04443,2430,7.1
04444,8946,49.3
04448,1455,5
04449,1496,15.4
04450,1214,31.4
04451,194,1.3
04453,745,4.4
04454,26,0.5
04455,788,4.2
04456,2963,36.6
04457,5787,13.9
04459,889,3.7
04460,1224,5.1
04461,2980,26.9
04462,4618,1.6
04463,3190,7.5
04464,528,1.3
04468,9156,30.8
04469,2578,4330.6
04471,666,2.4
04472,2115,17.7
04473,8151,164.9
04474,3666,57.7
04475,610,6.7
04476,1180,12.2
04478,309,0.3
04479,1272,13.5
04481,497,7
04485,208,2
04487,924,1.7
04488,1563,13.3
04489,221,376.3
04490,266,0.4
04491,146,4.2
04492,145,1.4
04493,1899,11.4
04495,469,3.6
04496,3898,40.8
04497,283,0.6
04530,10891,145.1
04535,842,13.1
04537,2069,47.8
04538,1942,164.7
04539,1059,27.6
04541,41,16.8
04543,2028,68.9
04544,624,86.3
04547,987,31.5
04548,917,21.6
04551,797,18.9
04553,1704,23.3
04554,911,64.1
04555,1641,33.5
04556,1082,26.7
04558,121,28.8
04562,2130,29.7
04563,1529,30.8
04564,602,21.8
04568,443,30.4
04570,0,2.8
04571,402,58.9
04572,4993,27.4
04573,471,23.8
04574,1456,15.4
04575,70,49.9
04576,587,45.7
04578,4365,51.4
04579,3089,33.9
04605,13955,17.6
04606,1172,11.5
04607,1199,9.1
04609,5425,47.7
04611,447,34.9
04612,468,41.4
04613,78,37.8
04614,2663,16.5
04616,713,17.7
04617,814,12.3
04619,2998,35.1
04622,1101,2.1
04623,910,3
04624,185,12.4
04625,77,8.6
04626,484,4.2
04627,1657,29.4
04628,757,3.1
04629,0,18.2
04630,1384,6.1
04631,1351,140.5
04634,1808,7
04635,12,5.3
04637,155,0.6
04640,2093,31.5
04642,82,8.4
04643,1053,18.5
04644,0,1011.1
04645,26,2.3
04646,65,34.3
04648,765,6.5
04649,1295,18.6
04650,264,23.6
04652,1607,10.6
04653,607,66
04654,3209,13.2
04655,1050,20.2
04657,313,1.4
04658,1581,21.6
04660,1084,17.5
04662,446,69.6
04664,1343,13.3
04666,1251,7.2
04667,1430,21.2
04668,1640,6.7
04669,192,28.8
04671,523,7.9
04673,225,14.4
04674,475,22
04675,187,19.1
04676,1059,17.5
04677,327,26.5
04679,1722,49.7
04680,1182,10.2
04681,1074,41.1
04683,104,9.1
04684,1599,15.3
04685,449,8.9
04686,129,0.4
04691,325,3.6
04693,393,13.9
04694,2193,7
04730,9797,16.4
04732,1694,1.5
04733,224,1.6
04734,711,6.8
04735,634,4.9
04736,9177,22.9
04739,870,1.9
04740,1109,12.9
04741,4,0.3
04742,3333,17.5
04743,4527,13.3
04745,933,17.4
04746,429,4.9
04747,1324,3.2
04750,2228,12.8
04756,3207,72.5
04757,3016,8.6
04758,1368,16.5
04760,677,3.1
04761,524,11.1
04762,544,5.8
04763,756,8
04764,30,0.4
04765,1070,0.9
04766,395,4.1
04768,359,0.7
04769,9162,49.4
04772,825,9.9
04773,602,7.2
04774,548,1.6
04776,1003,4.2
04777,427,1.8
04779,310,1.6
04780,778,1
04781,568,4.4
04783,508,2.9
04785,2264,9.5
04786,1952,10.8
04787,620,5.2
04841,7190,219.4
04843,4834,101.3
04847,1583,27
04848,734,15.3
04849,3693,23.3
04851,82,12.5
04852,38,31.3
04853,501,12
04854,1537,68.7
04855,195,51.4
04856,3384,59.4
04858,1365,52
04859,890,42.1
04860,1537,34.4
04861,2782,98.2
04862,4146,21.3
04863,1081,19.3
04864,4718,39.5
04901,26834,128.6
04910,2050,20.3
04911,2171,12.9
04912,933,6.7
04915,8981,46.5
04917,2840,27.7
04918,307,37.7
04920,1681,2.6
04921,1581,13
04922,1062,11.6
04923,514,8.7
04924,2364,21.3
04925,89,0.5
04926,96,184.4
04927,3355,30.7
04928,2032,21.9
04929,845,16.3
04930,4056,30.7
04932,1192,12.6
04933,24,270.2
04936,186,0.2
04937,6546,49.3
04938,9855,31.1
04939,1011,11.3
04940,0,94
04941,1777,10.5
04942,1333,3.5
04943,1665,18.6
04944,37,10.1
04945,1022,0.5
04947,1313,5.7
04949,818,13.6
04950,4683,36.1
04951,1019,8.7
04952,1886,23.4
04953,3226,42.3
04955,1557,11.8
04956,920,7.7
04957,4164,20.2
04958,1826,13.7
04961,827,1.3
04962,190,587.2
04963,7257,54.8
04964,127,0.9
04965,2068,19
04966,1719,3.3
04967,4065,33.6
04969,1270,17.7
04970,1427,2.7
04971,2041,17.3
04973,1508,14.2
04974,2593,35.3
04975,0,337.3
04976,9752,38.4
04978,746,20.4
04979,884,9.4
04981,2419,23.7
04982,570,4.6
04983,1857,4.5
04984,600,8.6
04985,52,0.2
04986,1673,12
04987,1023,11.4
04988,2348,16.6
04989,4132,36.8
04992,142,680.1
05001,9303,81.4
05031,128,8.4
05032,2308,14.7
05033,2577,36.6
05034,332,21.1
05035,693,7.7
05036,1089,12
05037,533,20.8
05038,1383,12
