Zip,Median,Mean
2446,"67,338","105,307"
2451,"78,675","95,995"
2452,"67,088","84,728"
2453,"59,067","75,080"
2457,"179,792","273,410"
2458,"90,740","123,497"
2459,"128,598","176,962"
2460,"107,495","140,026"
2461,"110,373","149,143"
2462,"134,119","208,054"
2464,"81,143","111,517"
2465,"110,531","158,982"
2466,"115,116","167,280"
2467,"130,044","220,734"
2468,"166,454","240,445"
2472,"74,968","89,065"
2474,"82,845","100,434"
2476,"83,975","104,445"
2478,"95,269","133,543"
2481,"173,681","243,579"
2482,"123,003","185,218"
2492,"118,211","168,697"
2493,"147,946","277,514"
2494,"104,492","139,639"
2532,"60,257","73,420"
2534,"60,788","74,722"
2535,"68,906","98,197"
2536,"61,733","75,012"
2537,"86,643","98,309"
2538,"54,545","65,412"
2539,"67,625","93,683"
2540,"58,667","96,888"
2542,"39,803","51,101"
2543,"82,355","136,359"
2553,"70,197","80,940"
2554,"61,502","92,073"
2556,"67,750","87,409"
2557,"59,156","75,430"
2558,"51,662","60,627"
2559,"62,761","76,026"
2561,"68,597","79,039"
2562,"68,960","79,286"
2563,"84,184","97,817"
2564,"81,944","158,042"
2568,516,691
2571,"55,500","66,214"
2575,"68,906","98,197"
2576,"62,034","70,428"
2584,"81,944","158,042"
2601,"44,219","55,017"
2630,"71,383","104,286"
2631,"58,280","76,849"
2632,"67,464","81,140"
2633,"65,871","102,922"
2635,"75,166","104,492"
2637,"71,516","104,499"
2638,"56,770","75,909"
2639,"47,356","62,216"
2641,"61,013","80,493"
2642,"59,536","74,408"
2643,"62,589","82,230"
2644,"82,198","86,837"
2645,"55,137","75,251"
2646,"52,700","74,549"
2647,"47,353","56,686"
2648,"71,212","91,677"
2649,"62,993","80,307"
2650,"64,477","105,609"
2651,"54,464","69,597"
2652,"80,425","82,651"
2653,"57,062","76,182"
2655,"72,786","103,288"
2657,"44,646","65,485"
2659,"67,569","99,647"
2660,"52,611","66,274"
2663,"66,109","85,199"
2664,"46,673","59,893"
2666,"80,425","82,651"
2667,"66,118","85,193"
2668,"71,947","99,935"
2669,"67,569","99,647"
2670,"36,555","54,887"
2671,"55,677","85,191"
2672,"51,601","62,500"
2673,"46,414","61,552"
2675,"63,557","80,124"
2702,"91,095","91,631"
2703,"67,398","77,813"
2713,"68,906","98,197"
2715,"83,613","90,286"
2717,"75,793","83,033"
2718,"81,142","82,796"
2719,"53,936","63,866"
2720,"47,794","57,117"
2721,"32,106","42,516"
2723,"30,338","38,251"
2724,"30,652","40,877"
2725,"65,712","67,216"
2726,"68,267","76,224"
2738,"101,006","125,277"
2739,"74,877","92,712"
2740,"38,238","47,584"
2743,"70,836","76,925"
2744,"31,128","48,515"
2745,"51,951","59,328"
2746,"24,099","35,477"
2747,"72,292","79,915"
2748,"72,885","89,832"
2760,"79,274","89,441"
2762,"73,645","82,637"
2763,"76,722","87,166"
2764,"83,621","90,292"
2766,"77,953","90,784"
2767,"76,338","88,696"
2769,"90,530","106,149"
2770,"95,022","97,975"
2771,"73,961","90,916"
2777,"70,245","82,590"
2779,"81,125","90,841"
2780,"53,796","62,457"
2790,"68,367","83,137"
2791,"72,105","100,424"
2802,"62,982","77,405"
2804,"71,104","79,440"
